Char   Codepoint     Frequency
况      U+051B5           5429
暫      U+066AB           5426
崖      U+05D16           5425
帘      U+05E18           5420
坡      U+05761           5419
蟾      U+087FE           5410
背      U+080CC           5399
巾      U+05DFE           5382
鬼      U+09B3C           5379
繼      U+07E7C           5374
寸      U+05BF8           5374
泊      U+06CCA           5372
飯      U+098EF           5368
奏      U+0594F           5367
猿      U+0733F           5364
语      U+08BED           5357
攀      U+06500           5356
珍      U+073CD           5350
须      U+0987B           5349
魯      U+09B6F           5333
巧      U+05DE7           5333
刘      U+05218           5332
画      U+0753B           5315
马      U+09A6C           5314
滴      U+06EF4           5314
淳      U+06DF3           5298
牧      U+07267           5294
淺      U+06DFA           5286
威      U+05A01           5282
扇      U+06247           5280
項      U+09805           5277
卒      U+05352           5243
哭      U+054ED           5243
煩      U+07169           5239
叶      U+053F6           5228
聚      U+0805A           5214
閉      U+09589           5210
簿      U+07C3F           5210
埃      U+057C3           5205
籍      U+07C4D           5197
寥      U+05BE5           5196
嶽      U+05DBD           5192
飽      U+098FD           5189
伊      U+04F0A           5182
耒      U+08012           5173
賜      U+08CDC           5173
厚      U+0539A           5170
横      U+06A2A           5170
豪      U+08C6A           5169
視      U+08996           5167
轍      U+08F4D           5161
尘      U+05C18           5158
伏      U+04F0F           5157
龙      U+09F99           5147
说      U+08BF4           5143
愚      U+0611A           5142
授      U+06388           5126
棠      U+068E0           5120
沒      U+06C92           5116
射      U+05C04           5112
驅      U+09A45           5108
对      U+05BF9           5106
旌      U+065CC           5100
詔      U+08A54           5098
摇      U+06447           5086
渺      U+06E3A           5082
刻      U+0523B           5080
彌      U+05F4C           5069
饑      U+09951           5068
履      U+05C65           5055
頗      U+09817           5043
薦      U+085A6           5032
勸      U+052F8           5027
服      U+0670D           5026
瓊      U+074CA           5019
傅      U+05085           5006
按      U+06309           5000
謀      U+08B00           4993
瞻      U+077BB           4991
喧      U+055A7           4989
离      U+079BB           4987
疎      U+0758E           4987
鹿      U+09E7F           4976
切      U+05207           4962
尉      U+05C09           4951
脫      U+0812B           4948
鎮      U+093AE           4936
略      U+07565           4923
袁      U+08881           4920
奔      U+05954           4916
鸞      U+09E1E           4914
尤      U+05C24           4913
趣      U+08DA3           4911
慧      U+06167           4902
乞      U+04E5E           4898
娇      U+05A07           4887
監      U+076E3           4877
輩      U+08F29           4863
从      U+04ECE           4848
爐      U+07210           4847
邦      U+090A6           4842
擁      U+064C1           4841
簷      U+07C37           4841
界      U+0754C           4839
普      U+0666E           4839
資      U+08CC7           4833
免      U+0514D           4831
磨      U+078E8           4822
叟      U+053DF           4809
床      U+05E8A           4804
巢      U+05DE2           4796
气      U+06C14           4792
吴      U+05434           4792
浙      U+06D59           4792
環      U+074B0           4766
殷      U+06BB7           4761
寓      U+05BD3           4760
綱      U+07DB1           4760
鞭      U+097AD           4752
買      U+08CB7           4740
吐      U+05410           4739
姓      U+059D3           4739
累      U+07D2F           4739
姑      U+059D1           4735
議      U+08B70           4732
坤      U+05764           4725
打      U+06253           4725
胸      U+080F8           4723
澄      U+06F84           4723
刀      U+05200           4721
卜      U+0535C           4719
潛      U+06F5B           4716
焉      U+07109           4712
蕩      U+08569           4708
慈      U+06148           4683
臥      U+081E5           4681
屈      U+05C48           4679
佩      U+04F69           4679
边      U+08FB9           4664
幹      U+05E79           4663
燭      U+071ED           4662
覆      U+08986           4660
驛      U+09A5B           4660
阿      U+0963F           4657
凡      U+051E1           4641
棄      U+068C4           4634
嫌      U+05ACC           4632
脚      U+0811A           4632
濕      U+06FD5           4628
況      U+06CC1           4627
笛      U+07B1B           4611
際      U+0969B           4606
婦      U+05A66           4602
书      U+04E66           4595
籬      U+07C6C           4589
翼      U+07FFC           4585
舜      U+0821C           4581
犹      U+072B9           4576
悵      U+060B5           4575
晏      U+0664F           4550
歐      U+06B50           4544
律      U+05F8B           4540
謁      U+08B01           4540
杏      U+0674F           4536
區      U+05340           4529
剛      U+0525B           4528
馳      U+099B3           4527
泰      U+06CF0           4524
響      U+097FF           4517
杨      U+06768           4516
残      U+06B8B           4510
瑶      U+07476           4506
鐵      U+09435           4502
裴      U+088F4           4498
凄      U+051C4           4497
痕      U+075D5           4486
科      U+079D1           4462
寬      U+05BEC           4455
蟬      U+087EC           4455
晉      U+06649           4451
腐      U+08150           4448
黑      U+09ED1           4441
囊      U+056CA           4435
弓      U+05F13           4435
听      U+0542C           4435
畏      U+0754F           4432
姿      U+059FF           4430
牆      U+07246           4429
咸      U+054B8           4429
阴      U+09634           4419
候      U+05019           4415
貫      U+08CAB           4411
泪      U+06CEA           4403
祝      U+0795D           4399
聯      U+0806F           4393
寞      U+05BDE           4391
悟      U+0609F           4389
鍾      U+0937E           4378
墮      U+058AE           4378
欣      U+06B23           4376
皎      U+0768E           4374
临      U+04E34           4372
樵      U+06A35           4372
類      U+0985E           4361
