Char   Codepoint     Frequency
勞      U+052DE           9264
嗟      U+055DF           9257
急      U+06025           9232
角      U+089D2           9228
羣      U+07FA3           9219
毛      U+06BDB           9204
逐      U+09010           9201
幸      U+05E78           9168
朋      U+0670B           9163
别      U+0522B           9134
既      U+065E2           9126
炎      U+0708E           9124
占      U+05360           9120
屬      U+05C6C           9112
暖      U+06696           9108
低      U+04F4E           9088
呼      U+0547C           9086
傷      U+050B7           9081
末      U+0672B           9081
昌      U+0660C           9046
韋      U+097CB           9021
冬      U+051AC           8997
嚴      U+056B4           8931
絲      U+07D72           8902
凝      U+051DD           8897
曰      U+066F0           8889
戶      U+06236           8880
孟      U+05B5F           8874
蒙      U+08499           8852
點      U+09EDE           8847
洛      U+06D1B           8839
鼎      U+09F0E           8835
嶺      U+05DBA           8820
瑞      U+0745E           8811
伴      U+04F34           8809
丈      U+04E08           8786
芝      U+0829D           8778
盛      U+076DB           8777
味      U+05473           8770
佛      U+04F5B           8762
堅      U+05805           8758
淮      U+06DEE           8739
慶      U+06176           8728
商      U+05546           8721
顔      U+09854           8713
髮      U+09AEE           8707
謂      U+08B02           8698
淚      U+06DDA           8697
盤      U+076E4           8692
號      U+0865F           8677
貧      U+08CA7           8670
止      U+06B62           8654
性      U+06027           8643
富      U+05BCC           8625
殊      U+06B8A           8625
催      U+050AC           8620
擬      U+064EC           8619
余      U+04F59           8600
己      U+05DF1           8564
實      U+05BE6           8547
魏      U+09B4F           8546
省      U+07701           8537
房      U+0623F           8504
戴      U+06234           8499
投      U+06295           8487
稱      U+07A31           8480
榮      U+069AE           8478
內      U+05167           8456
狂      U+072C2           8452
塞      U+0585E           8449
象      U+08C61           8441
倒      U+05012           8434
征      U+05F81           8430
部      U+090E8           8403
耳      U+08033           8396
崔      U+05D14           8395
片      U+07247           8382
形      U+05F62           8377
荷      U+08377           8363
彭      U+05F6D           8362
睡      U+07761           8340
遣      U+09063           8323
矣      U+077E3           8316
席      U+05E2D           8315
市      U+05E02           8313
辰      U+08FB0           8313
洗      U+06D17           8308
飄      U+098C4           8304
茶      U+08336           8303
歡      U+06B61           8297
蜀      U+08700           8290
雷      U+096F7           8247
適      U+09069           8244
怨      U+06028           8240
泥      U+06CE5           8232
季      U+05B63           8229
就      U+05C31           8228
雄      U+096C4           8228
或      U+06216           8223
孔      U+05B54           8215
卧      U+05367           8205
傍      U+0508D           8204
孝      U+05B5D           8195
强      U+05F3A           8177
傾      U+050BE           8166
漁      U+06F01           8159
拂      U+062C2           8155
吏      U+0540F           8152
迷      U+08FF7           8146
辛      U+08F9B           8129
獻      U+0737B           8124
井      U+04E95           8093
万      U+04E07           8085
后      U+0540E           8076
變      U+08B8A           8064
維      U+07DAD           8059
淡      U+06DE1           8054
危      U+05371           8051
紹      U+07D39           8043
約      U+07D04           8037
拜      U+062DC           8034
塘      U+05858           8017
仍      U+04ECD           8015
借      U+0501F           8005
涯      U+06DAF           8001
接      U+063A5           7988
哉      U+054C9           7983
洲      U+06D32           7983
尽      U+05C3D           7983
这      U+08FD9           7977
遂      U+09042           7977
渡      U+06E21           7976
鏡      U+093E1           7966
談      U+08AC7           7937
墨      U+058A8           7921
騎      U+09A0E           7906
夷      U+05937           7905
童      U+07AE5           7902
疾      U+075BE           7896
嘗      U+05617           7894
業      U+0696D           7894
弄      U+05F04           7873
承      U+0627F           7860
計      U+08A08           7850
张      U+05F20           7836
逸      U+09038           7819
受      U+053D7           7813
推      U+063A8           7799
茅      U+08305           7796
桑      U+06851           7791
則      U+05247           7760
澤      U+06FA4           7757
抱      U+062B1           7748
偏      U+0504F           7728
映      U+06620           7715
屏      U+05C4F           7714
每      U+06BCF           7695
贊      U+08D0A           7695
唯      U+0552F           7684
闕      U+095D5           7684
等      U+07B49           7677
積      U+07A4D           7668
鬢      U+09B22           7655
泛      U+06CDB           7639
工      U+05DE5           7618
館      U+09928           7617
頻      U+0983B           7613
希      U+05E0C           7603
蓮      U+084EE           7594
将      U+05C06           7582
衡      U+08861           7563
各      U+05404           7557
杖      U+06756           7513
勤      U+052E4           7511
釣      U+091E3           7505
忠      U+05FE0           7480
苔      U+082D4           7476
鴻      U+09D3B           7464
扶      U+06276           7463
表      U+08868           7458
賞      U+08CDE           7454
舒      U+08212           7453
个      U+04E2A           7451
阳      U+09633           7434
采      U+091C7           7395
赤      U+08D64           7391
提      U+063D0           7389
禹      U+079B9           7379
晨      U+06668           7377
賀      U+08CC0           7372
诗      U+08BD7           7351
罷      U+07F77           7349
補      U+088DC           7348
虞      U+0865E           7318
劍      U+0528D           7295
烏      U+070CF           7291
枯      U+067AF           7288
智      U+0667A           7280
遥      U+09065           7277
固      U+056FA           7276
寫      U+05BEB           7274
儒      U+05112           7272
負      U+08CA0           7253
醒      U+09192           7234
制      U+05236           7210
断      U+065AD           7202
衆      U+08846           7195
龜      U+09F9C           7194
旦      U+065E6           7167
